Site,GPS,Altitude_ft,Date,Measurer,Recorder,Team,Permit,Time,Species,Sample_ID,Cell_line_sample_ID,Sex,Age,Reproductive_status,Mass_g,Forearm_mm,Ear_mm,Tragus_mm,Tail_mm,Total_mm,Tail_fringe,Keeled_calcar,Tail_past_membrane,Ear_color_same_as_fur,Intrascapular_bald_patch,Blunt_tragus,Steep_forehead,Furred_underwings,Notes,Sequencing_notes,Extraction_ng,Extraction_ng-ul,Extraction_260-280,avg_fragment_length_kb,Extraction_method,Extraction_location,Extraction_successful,Cell_line,Remaining_punches
Cienega_creek,,,9 October 2020,MEL,MEL,"Elise Lauterbur, Brendan Larsen, Hans Otto",,-,MYAU,-,,F,-,NR,5.25,37,18,-,38,-,,,,,,,,,,,,,,,,,,,
Cienega_creek,,,9 October 2020,MEL,MEL,"Elise Lauterbur, Brendan Larsen, Hans Otto",,-,ANPA,-,,M,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Cienega_creek,,,9 October 2020,MEL,MEL,"Elise Lauterbur, Brendan Larsen, Hans Otto",,-,ANPA,-,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Cienega_creek,,,9 October 2020,MEL,MEL,"Elise Lauterbur, Brendan Larsen, Hans Otto",,-,PAHE,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Cienega_creek,,,9 October 2020,MEL,MEL,"Elise Lauterbur, Brendan Larsen, Hans Otto",,-,ANPA,-,,F,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Cienega_creek,,,9 October 2020,MEL,MEL,"Elise Lauterbur, Brendan Larsen, Hans Otto",,-,COTO,-,,F,-,NR,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Cienega_creek,,,9 October 2020,MEL,MEL,"Elise Lauterbur, Brendan Larsen, Hans Otto",,-,COTO,-,,F,A,NR,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Ina_bridge,,,2 November 2020,MEL,MEL,"Elise Lauterbur, David Enard, Melanie Bucci, Brendan Larsen",,-,MYCA/CI,-,,M,A,NR,,,,,,,,,,,,,,,,,,,,,,,,,
Ina_bridge,,,2 November 2020,MEL,MEL,"Elise Lauterbur, David Enard, Melanie Bucci, Brendan Larsen",,-,MYYU,-,,M,A,NR,,,,,,,,,,,,,,,,,,,,,,,,,
Ina_bridge,,,2 November 2020,MEL,MEL,"Elise Lauterbur, David Enard, Melanie Bucci, Brendan Larsen",,18:13,MYVE,-,,M,A,NR,8.25,41,12,-,33,94,,,,,Y,,,,foot 9mm,,,,,,,,,,
